DATE,WEMMERSHOEK  No.1 Dam,,STEENBRAS No.1,,VOËLVLEI,,THEEWATERS-KLOOF,,WOODHEAD,,DE VILLIERS HOUSE,,NEWLANDS,,WYNBERG,,CONSTANTIA NEK,,PLATTEKLOOF,,BLACKHEATH Upper (WTP),,BLACKHEATH Lower,,GLEN  GARRY,,TYGERBERG,,FAURE,,BROOKLANDS,,ATLANTIS (WESFLEUR),,MOLTENO,,KLOOF NEK,,BERGRIVIER,,NEWLANDS,,STEENBRAS,,WEMMERSHOEK,,BROOKLANDS,,WOODHEAD,,MOLTENO,,STEENBRAS No.2,,STEENBRAS No.3,,STEENBRAS CATCHMENT No.4,,WEMMERS No.2 South,,WEMMERS No.3 North,,WEMMERS No.4 New South,,WEMMERS No.5 New North,,HOUSE,TUNNEL,MILLS,WAAI-VLEI,SPRING-BOK,KITCHEN,WAAI- KOPJE,C/NEK DISA,Day,Month,Year,WEMMERS-HOEK  No.1 Dam,STEEN-BRAS No.1,VOËLVLEI,THEE-WATERS-KLOOF,WOOD-HEAD,DE VILLIERS,NEW-LANDS,WYN-BERG,CON-STANTIA,PLATTE-KLOOF,BLACK-HEATH Upper,BLACK-HEATH Lower,GLEN  GARRY,TYGER-BERG,FAURE,BROOK-LANDS,ATLANTIS,MOLTENO,KLOOF NEK,BERG-RIVIER
01-Jan-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,#REF!,,,1.5,#REF!,,,,,,,8,#REF!,,,4,#REF!,0,#REF!,,,,,,,,,,#REF!,8,#REF!,,#REF!,,#REF!,,,,,,,,,1,1,2000,,,,,,,,,,,,,,,,,,,,
02-Jan-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,8,,,,,,4.5,,,,,,,,,,,,6.5,,,,,,,,,,,,,,2,1,2000,,,,,,,,,,,,,,,,,,,,
03-Jan-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,12,,8,,,,,,,,,,,,8.5,,,,,,,,,,,,,,3,1,2000,,,,,,,,,,,,,,,,,,,,
04-Jan-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,9,,8.5,,,,,,,,,,,,8,,,,,,,,,,,,,,4,1,2000,,,,,,,,,,,,,,,,,,,,
05-Jan-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,11,,8.5,,,,,,,,,,,,9,,,,,,,,,,,,,,5,1,2000,,,,,,,,,,,,,,,,,,,,
06-Jan-00,,,6.5,,,,,,10.5,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,9,,6.5,,,,,,,,,,,,6,,,,,,,,,,,,,,6,1,2000,,,,,,,,,,,,,,,,,,,,
07-Jan-00,1.5,,,,,,,,,,,,10.5,,,,,,1.4,,1,,1,,0.7,,,,2,,,,,,6.5,,,,,,,,7,,,,10,,0,,,,,,,,,,1.5,,6.5,,,,,,,,,,,,,,7,1,2000,,,,,,,,,,,,,,,,,,,,
08-Jan-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,6,,,,1,,5.5,,,,,,,,,,,,7,,,,,,,,,,,,,,8,1,2000,,,,,,,,,,,,,,,,,,,,
09-Jan-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,9,,5,,,,,,,,,,,,7,,,,,,,,,,,,,,9,1,2000,,,,,,,,,,,,,,,,,,,,
10-Jan-00,,,12,,,,,,14.5,,,,,,5,,9,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,7,,4.5,,,,,,,,,,,,7.5,,,,,,,,,,,,,,10,1,2000,,,,,,,,,,,,,,,,,,,,
11-Jan-00,5,,,,,,,,,,,,8.5,,,,,,4.9,,2.8,,5,,2.6,,3,,7,,,,,,2.5,,,,,,,,5,,,,6,,3.5,,,,,,,,,,5,,4.5,,,,,,,,,,,,,,11,1,2000,,,,,,,,,,,,,,,,,,,,
12-Jan-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,9,,,,2,,2.5,,,,,,,,,,,,4.5,,,,,,,,,,,,,,12,1,2000,,,,,,,,,,,,,,,,,,,,
13-Jan-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,6,,5,,,,,,,,,,,,10,,,,,,,,,,,,,,13,1,2000,,,,,,,,,,,,,,,,,,,,
14-Jan-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,10,,6,,,,,,,,,,,,12,,,,,,,,,,,,,,14,1,2000,,,,,,,,,,,,,,,,,,,,
15-Jan-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,9,,6,,,,,,,,,,,,11.5,,,,,,,,,,,,,,15,1,2000,,,,,,,,,,,,,,,,,,,,
16-Jan-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,8,,8,,,,,,,,,,,,9.5,,,,,,,,,,,,,,16,1,2000,,,,,,,,,,,,,,,,,,,,
17-Jan-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,12,,8,,,,,,,,,,,,9.5,,,,,,,,,,,,,,17,1,2000,,,,,,,,,,,,,,,,,,,,
18-Jan-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,10,,9.5,,,,,,,,,,,,10.5,,,,,,,,,,,,,,18,1,2000,,,,,,,,,,,,,,,,,,,,
19-Jan-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,9,,9,,,,,,,,,,,,11,,,,,,,,,,,,,,19,1,2000,,,,,,,,,,,,,,,,,,,,
20-Jan-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,,12,,13,,,,,,,,,,,,10.5,,,,,,,,,,,,,,20,1,2000,,,,,,,,,,,,,,,,,,,,
21-Jan-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,10,,8.5,,,,,,,,,,,,8.5,,,,,,,,,,,,,,21,1,2000,,,,,,,,,,,,,,,,,,,,
22-Jan-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,10,,6,,,,,,,,,,,,8,,,,,,,,,,,,,,22,1,2000,,,,,,,,,,,,,,,,,,,,
23-Jan-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,10,,7.5,,,,,,,,,,,,7.5,,,,,,,,,,,,,,23,1,2000,,,,,,,,,,,,,,,,,,,,
24-Jan-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,10,,8,,,,,,,,,,,,7,,,,,,,,,,,,,,24,1,2000,,,,,,,,,,,,,,,,,,,,
25-Jan-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,6,,7,,,,,,,,,,,,7.5,,,,,,,,,,,,,,25,1,2000,,,,,,,,,,,,,,,,,,,,
26-Jan-00,,,6.8,,0,,,,8.7,,,,,,0.1,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,9,,5,,,,,,,,,,,,7.5,,,,,,,,,,,,,,26,1,2000,,,,,,,,,,,,,,,,,,,,
27-Jan-00,3,,,,3.5,,,,,,,,,,1,,,,20.8,,7,,6,,4.5,,24,,1.5,,,,,,5,,,,,,,,8,,,,8,,5,,,,,,,,,,3,,8,,,,,,,,,,,,,,27,1,2000,,,,,,,,,,,,,,,,,,,,
28-Jan-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,5.5,,,,6,,5,,,,,,,,,,,,6.5,,,,,,,,,,,,,,28,1,2000,,,,,,,,,,,,,,,,,,,,
29-Jan-00,,,20.9,,0,,,,22,,,,,,15,,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,9,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,29,1,2000,,,,,,,,,,,,,,,,,,,,
30-Jan-00,15,,,,3.6,,,,,,,,42.7,,,,,,3.8,,8,,5.5,,10.3,,4,,5,,1,,,,4.5,,,,,,,,5,,,,6,,0,,,,,,,,,,15,,5,,,,,,,,,,,,,,30,1,2000,,,,,,,,,,,,,,,,,,,,
31-Jan-00,,,,,0,7.1,,,,,,,,,,,,,,,,,,,,,,,,,8,50.7,,,0,20,,,,,,,6,228.4,,,6,246,5,182.5,,,,,,,,,,24.5,9,243,,0,,0,,,,,,,,,31,1,2000,4,4,,,4,0,3,4,4,4,4,4,4,3,4,7,,5,,
01-Feb-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,8,,6,,,,,,,,,,,,6,,,,,,,,,,,,,,1,2,2000,,,,,,,,,,,,,,,,,,,,
02-Feb-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,8,,5,,,,,,,,,,,,8,,,,,,,,,,,,,,2,2,2000,,,,,,,,,,,,,,,,,,,,
03-Feb-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,12,,6,,,,,,,,,,,,7,,,,,,,,,,,,,,3,2,2000,,,,,,,,,,,,,,,,,,,,
04-Feb-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,8,,6,,,,,,,,,,,,8,,,,,,,,,,,,,,4,2,2000,,,,,,,,,,,,,,,,,,,,
05-Feb-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,7,,5,,,,,,,,,,,,8.5,,,,,,,,,,,,,,5,2,2000,,,,,,,,,,,,,,,,,,,,
06-Feb-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,10,,6.5,,,,,,,,,,,,8,,,,,,,,,,,,,,6,2,2000,,,,,,,,,,,,,,,,,,,,
07-Feb-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,8,,5,,,,,,,,,,,,8,,,,,,,,,,,,,,7,2,2000,,,,,,,,,,,,,,,,,,,,
08-Feb-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,9,,7.5,,,,,,,,,,,,8,,,,,,,,,,,,,,8,2,2000,,,,,,,,,,,,,,,,,,,,
09-Feb-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,9,,7,,,,,,,,,,,,8,,,,,,,,,,,,,,9,2,2000,,,,,,,,,,,,,,,,,,,,
10-Feb-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,9,,5,,,,,,,,,,,,7.5,,,,,,,,,,,,,,10,2,2000,,,,,,,,,,,,,,,,,,,,
11-Feb-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,7,,4.5,,,,,,,,,,,,8,,,,,,,,,,,,,,11,2,2000,,,,,,,,,,,,,,,,,,,,
12-Feb-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9,,,,6,,5,,,,,,,,,,,,9.5,,,,,,,,,,,,,,12,2,2000,,,,,,,,,,,,,,,,,,,,
13-Feb-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,6,,2.5,,,,,,,,,,,,8,,,,,,,,,,,,,,13,2,2000,,,,,,,,,,,,,,,,,,,,
14-Feb-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,8,,3,,,,,,,,,,,,6,,,,,,,,,,,,,,14,2,2000,,,,,,,,,,,,,,,,,,,,
15-Feb-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,8,,5,,,,,,,,,,,,9.5,,,,,,,,,,,,,,15,2,2000,,,,,,,,,,,,,,,,,,,,
16-Feb-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,9,,5,,,,,,,,,,,,8,,,,,,,,,,,,,,16,2,2000,,,,,,,,,,,,,,,,,,,,
17-Feb-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,8,,6,,,,,,,,,,,,5.5,,,,,,,,,,,,,,17,2,2000,,,,,,,,,,,,,,,,,,,,
18-Feb-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,9,,7.5,,,,,,,,,,,,11,,,,,,,,,,,,,,18,2,2000,,,,,,,,,,,,,,,,,,,,
19-Feb-00,2,,,,0,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,7,,,,9,,8,,,,,,,,,,2,,3,,,,,,,,,,,,,,19,2,2000,,,,,,,,,,,,,,,,,,,,
20-Feb-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,6,,6,,,,,,,,,,,,5,,,,,,,,,,,,,,20,2,2000,,,,,,,,,,,,,,,,,,,,
21-Feb-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,4,,6.5,,,,,,,,,,,,8,,,,,,,,,,,,,,21,2,2000,,,,,,,,,,,,,,,,,,,,
22-Feb-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,12,,7,,,,,,,,,,,,9,,,,,,,,,,,,,,22,2,2000,,,,,,,,,,,,,,,,,,,,
23-Feb-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,9,,6,,,,,,,,,,,,8,,,,,,,,,,,,,,23,2,2000,,,,,,,,,,,,,,,,,,,,
24-Feb-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,7,,7,,,,,,,,,,,,12,,,,,,,,,,,,,,24,2,2000,,,,,,,,,,,,,,,,,,,,
25-Feb-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,8,,6.5,,,,,,,,,,,,6.5,,,,,,,,,,,,,,25,2,2000,,,,,,,,,,,,,,,,,,,,
26-Feb-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,10,,6,,,,,,,,,,,,9.5,,,,,,,,,,,,,,26,2,2000,,,,,,,,,,,,,,,,,,,,
27-Feb-00,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,9,,7,,,,,,,,,,,,6.5,,,,,,,,,,,,,,27,2,2000,,,,,,,,,,,,,,,,,,,,
